# CVS $Revision: $ $Author: $ -- Mon Feb 13 00:00:00 2023 -- formatted by stoneageartisans

SOURCELONG:Living Greyhawk Gazetteer		SOURCESHORT:LG		SOURCEDATE:2023-02

# *** BEGIN - Deities from Living Greyhawk Gazetteer ***
#Deity Name			Unique Key				Domains																	Deity Weapon													Align			Pantheon						Source Page				Type					Description
Al'Akbar			KEY:Al'Akbar			DOMAINS:Good,Healing,Law,Protection|PREALIGN:LG,LN,NG					DEITYWEAP:Falchion												ALIGN:LG		FACTSET:Pantheon|Baklunish 		SOURCEPAGE:p.164		TYPE:Demigod			DESC:Al'Akbar (ahl AHK-bar) ~ Male ~ High Cleric, Restorer of Righteousness   <b>Portfolio:</b> Guardianship, Faithfulness, Dignity, and Duty
# *** BEGIN - Dwarven Deities from Living-Greyhawk-Deities-v2-0.pdf ***
#Deity Name					Unique Key						Domains																		Deity Weapon										Align			Pantheon						Source Page				Type					Description
Abbathor					KEY:Abbathor					DOMAINS:Evil,Luck,Trickery|PREALIGN:LE,TN,NE,CE								DEITYWEAP:Dagger									ALIGN:NE		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.6			TYPE:Intermediate		DESC:Abbathor (AB-ah-thor) ~ Male ~ Great Master of Greed, Trove Lord, The Avaricious, Wyrm of Avarice   <b>Portfolio:</b> Greed
Berronar Truesilver			KEY:Berronar Truesilver			DOMAINS:Good,Healing,Law,Protection|PREALIGN:LG,LN,NG						DEITYWEAP:Mace (Heavy)								ALIGN:LG		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.23			TYPE:Intermediate		DESC:Berronar (BAIR-oh-nahr) ~ Female ~ The Revered Mother, Matron of Home and Hearth   <b>Portfolio:</b> Safety, Truth, Home, Healing
Clangeddin Silverbeard		KEY:Clangeddin Silverbeard		DOMAINS:Good,Law,Strength,War|PREALIGN:LG,LN,NG								DEITYWEAP:Battleaxe									ALIGN:LG		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.36			TYPE:Intermediate		DESC:Clangeddin (KLAN-gehd-din) ~ Male ~ Father of Battle, Lord of the Twin Axes, The Giantkiller, The Goblinbane, The Wyrmslayer, The Rock of Battle   <b>Portfolio:</b> Battle, War
Dugmaren Brightmantle		KEY:Dugmaren Brightmantle		DOMAINS:Chaos,Good,Knowledge|PREALIGN:NG,CG,CN								DEITYWEAP:Sword (Short)								ALIGN:CG		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.48			TYPE:Lesser				DESC:Dugmaren (DUHG-mah-ren) ~ Male ~ The Gleam in the Eye, The Wandering Tinker, The Errant Explorer   <b>Portfolio:</b> Scholarship, Discovery, Invention
Dumathoin					KEY:Dumathoin					DOMAINS:Earth,Knowledge,Protection|PREALIGN:LN,NG,TN,NE,CN					DEITYWEAP:Warhammer|Pick (Heavy)|Pick (Light)		ALIGN:TN		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.49			TYPE:Intermediate		DESC:Dumathoin (DOO-muh-THOE-in) ~ Male ~ Keeper of Secrets Under the Mountain, The Silent Keeper, The Mountain Shield   <b>Portfolio:</b> Mining, Exploration
Gendwar Argrim				KEY:Gendwar Argrim				DOMAINS:Destruction,Law,War|PREALIGN:LG,LN,LE,TN							DEITYWEAP:Waraxe (Dwarven)							ALIGN:LN		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.65			TYPE:Demigod			DESC:Gendwar Argrim (GEND-war AHR-grihm) ~ Male ~ The Doomed Dwarf   <b>Portfolio:</b> Fatalism and Obsession
Moradin						KEY:Moradin						DOMAINS:Earth,Fire,Good,Law,Protection,Strength,War|PREALIGN:LG,LN,NG		DEITYWEAP:Warhammer									ALIGN:LG		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.118		TYPE:Greater			DESC:Moradin (MOAR-uh-din) ~ Male ~ The Soul Forger, Dwarffather, The All-Father, The Creator   <b>Portfolio:</b> Dwarves, Smithing, Engineering, Creation, War
Muamman Duathal				KEY:Muamman Duathal				DOMAINS:Good,Protection,Travel|PREALIGN:LG,NG,TN,CG							DEITYWEAP:Mace (Heavy)								ALIGN:NG		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.120		TYPE:Lesser				DESC:Muamman Duathal (Moo-AM-man Doo-AH-thuhl) ~ Male ~ Finder-of-Trails, the Watcher over Wanderers, the Watchful Eye   <b>Portfolio:</b> Expatriates, Urban Dwarves, Travelers, Exiles, Lightning
Vergadain					KEY:Vergadain					DOMAINS:Knowledge,Luck,Trickery|PREALIGN:LN,NG,TN,NE,CN						DEITYWEAP:Longsword									ALIGN:TN		FACTSET:Pantheon|Dwarven		SOURCEPAGE:p.182		TYPE:Intermediate		DESC:Vergadain (VUR-guh-dain) ~ Male ~ The Merchant King, The Trickster, The Laughing Dwarf, The Short Father   <b>Portfolio:</b> Wealth, Luck
# *** END - Dwarven Deities from Living-Greyhawk-Deities-v2-0.pdf ***

#

# *** BEGIN - Elven Deities from Living-Greyhawk-Deities-v2-0.pdf ***
#Deity Name				Unique Key					Domains																Deity Weapon				Align			Pantheon					Source Page				Type					Description
Aerdrie Faenya			KEY:Aerdrie Faenya			DOMAINS:Air,Animal,Chaos,Good|PREALIGN:NG,CG,CN						DEITYWEAP:Quarterstaff		ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.7			TYPE:Intermediate		DESC:Aerdrie Faenya (AIR-dree FAIN-yuh) ~ Female ~ The Winged Mother, Lady of Air and Wind, She of the Azure Plumage, Bringer of Rain and Storms   <b>Portfolio:</b> Air, Wind, Clouds, Birds, and Archery
Corellon Larethian		KEY:Corellon Larethian		DOMAINS:Chaos,Good,Magic,Protection,War|PREALIGN:NG,CG,CN			DEITYWEAP:Longsword			ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.37			TYPE:Greater			DESC:Corellon Larethian (kor-el-un la-RETH-ee-an) ~ Male ~ Creator of the Elves, The Protector, First of the Seldarine, Protector and Preserver of Life, Ruler of All Elves   <b>Portfolio:</b> Magic, Music, Arts & Crafts, and War
Deep Sashelas			KEY:Deep Sashelas			DOMAINS:Chaos,Good,Knowledge,Water|PREALIGN:NG,CG,CN				DEITYWEAP:Trident			ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.44			TYPE:Intermediate		DESC:Sashelas (SASH-ul-us) ~ Male ~ Lord of the Undersea, The Dolphin Prince, The Knowledgeable One, Sailor's Friend, The Creator   <b>Portfolio:</b> Aquatic Elves, Oceans, Knowledge, Beauty, Water Magic
Erevan Ilesere			KEY:Erevan Ilesere			DOMAINS:Chaos,Luck,Trickery|PREALIGN:TN,CG,CN,CE					DEITYWEAP:Sword (Short)		ALIGN:CN		FACTSET:Pantheon|Elf		SOURCEPAGE:p.54			TYPE:Intermediate		DESC:Erevan Ilesere (AIR-eh-van ILL-eh-seer) ~ Male ~ The Trickster, The Chameleon, The Green Changeling, The Ever-shifting Shapechanger, The Fey Jester, The Jack of the Seelie Court   <b>Portfolio:</b> Mischief, Change, and Rogues
Fenmarel Mestarine		KEY:Fenmarel Mestarine		DOMAINS:Animal,Chaos,Plant,Travel,Trickery|PREALIGN:TN,CG,CN		DEITYWEAP:Dagger			ALIGN:CN		FACTSET:Pantheon|Elf		SOURCEPAGE:p.57			TYPE:Lesser				DESC:Fenmarel Mestarine (FEHN-muh-rel MESS-tuh-reen) ~ Male ~ The Lone Wolf   <b>Portfolio:</b> Wild Elves, Outcasts, Scapegoats, and Isolation
Hanali Celanil			KEY:Hanali Celanil			DOMAINS:Chaos,Good,Magic,Protection|PREALIGN:NG,CG,CN				DEITYWEAP:Dagger			ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.71			TYPE:Intermediate		DESC:Hanali Celanil (HAN-uh-lee SELL-uh-nihl) ~ Female ~ The Heart of Gold, Winsome Rose, Archer of Love, Kiss of Romance, Lady Goldheart   <b>Portfolio:</b> Love, Romance, Beauty, Fine Arts, and Artists
Labelas Enoreth			KEY:Labelas Enoreth			DOMAINS:Chaos,Good,Knowledge|PREALIGN:NG,CG,CN						DEITYWEAP:Quarterstaff		ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.102		TYPE:Intermediate		DESC:Labelas Enoreth (lab-el-as EN-or-eth) ~ Male ~ The Lifegiver, Lord of the Continuum, The One-Eyed God, The Philosopher, The Sage at Sunset   <b>Portfolio:</b> Time, Longevity, and History
Rillifane Rallathil		KEY:Rillifane Rallathil		DOMAINS:Chaos,Good,Plant,Protection,Travel|PREALIGN:NG,CG,CN		DEITYWEAP:Quarterstaff		ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.142		TYPE:Intermediate		DESC:Rillifane Rallathil (RILL-ih-fayne RALL-uh-thihl) ~ Male ~ The Leaflord, The Wild One, The Great Oak, The Many-Branched, The Many-Limbed   <b>Portfolio:</b> Wood Elves, Woodlands, Nature, and Druids
Sehanine Moonbow		KEY:Sehanine Moonbow		DOMAINS:Chaos,Good,Knowledge,Travel,Trickery|PREALIGN:NG,CG,CN		DEITYWEAP:Quarterstaff		ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.146		TYPE:Intermediate		DESC:Sehanine (SAY-hah-neen) ~ Female ~ The Lady of Dreams, Daughter of the Night Skies, Moonlit Mystery, The Mystic Seer, The Luminous Cloud   <b>Portfolio:</b> Mysticism, Dreams, Far Journeys, Death, Full Moons, and Transcendence
Solonor Thelandira		KEY:Solonor Thelandira		DOMAINS:Animal,Chaos,Good,Plant,War|PREALIGN:NG,CG,CN				DEITYWEAP:Longbow			ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.155		TYPE:Intermediate		DESC:Solonor Thelandira (SO-lo-nohr theh-LAN-dih-ruh) ~ Male ~ Keen-Eye, The Great Archer, The Forest Hunter   <b>Portfolio:</b> Archery, Hunting, and Wilderness Survival
Ye'Cind					KEY:Ye'Cind					DOMAINS:Chaos,Good,Knowledge,Magic|PREALIGN:NG,CG,CN				DEITYWEAP:Longsword			ALIGN:CG		FACTSET:Pantheon|Elf		SOURCEPAGE:p.191		TYPE:Demigod			DESC:Ye'Cind (yee-SIND) ~ Male ~ The Bard   <b>Portfolio:</b> Music and Magical Songs
# *** END - Elven Deities from Living-Greyhawk-Deities-v2-0.pdf ***

#

# *** BEGIN - Gnome Deities from Living-Greyhawk-Deities-v2-0.pdf ***
#Deity Name					Unique Key						Domains																Deity Weapon					Align			Pantheon					Source Page			Type					Description
Baervan Wildwanderer		KEY:Baervan Wildwanderer		DOMAINS:Animal,Good,Plant,Travel,Trickery|PREALIGN:LG,NG,TN,CG		DEITYWEAP:Spear					ALIGN:NG		FACTSET:Pantheon|Gnome		SOURCEPAGE:p.14		TYPE:Intermediate		DESC:Baervan (BAY-ur-van) ~ Male ~ The Masked Leaf, The Forest Gnome, Father of Fish and Fungus   <b>Portfolio:</b> Forests, Nature, Travel
Baravar Cloakshadow			KEY:Baravar Cloakshadow			DOMAINS:Good,Magic,Protection,Trickery|PREALIGN:LG,NG,TN,CG			DEITYWEAP:Dagger				ALIGN:NG		FACTSET:Pantheon|Gnome		SOURCEPAGE:p.17		TYPE:Lesser				DESC:Baravar (BARE-uh-vahr) ~ Male ~ The Sly One, Master of Illusion, Lord in Disguise, Bane of Goblinkin   <b>Portfolio:</b> Illusions, Protection, Deception, Hatred of Goblinoids
Callarduran Smoothhands		KEY:Callarduran Smoothhands		DOMAINS:Earth,Healing,Protection|PREALIGN:LN,NG,TN,NE,CN			DEITYWEAP:Greataxe				ALIGN:TN		FACTSET:Pantheon|Gnome		SOURCEPAGE:p.30		TYPE:Intermediate		DESC:Callarduran (KAL-ur-duhr-an) ~ Male ~ Deep Brother, Master of Stone, Lord of Deepearth, The Deep Gnome   <b>Portfolio:</b> Svirfneblin, Protection, Earth, Mining, Secrecy
Flandal Steelskin			KEY:Flandal Steelskin			DOMAINS:Earth,Fire,Good,Strength|PREALIGN:LG,NG,TN,CG				DEITYWEAP:Warhammer				ALIGN:NG		FACTSET:Pantheon|Gnome		SOURCEPAGE:p.59		TYPE:Intermediate		DESC:Flandal (FLAN-dahl) ~ Male ~ Master of Metal, Lord of Smiths, The Armorer, The Weaponsmith, The Great Steelsmith, The Pyromancer   <b>Portfolio:</b> Mining, Smithing, Fitness
Gaerdal Ironhand			KEY:Gaerdal Ironhand			DOMAINS:Good,Law,Protection,War|PREALIGN:LG,LN,NG					DEITYWEAP:Mace (Heavy)			ALIGN:LG		FACTSET:Pantheon|Gnome		SOURCEPAGE:p.62		TYPE:Lesser				DESC:Gaerdal (GAIR-dul) ~ Male ~  The Stern, The Shield of the Golden Hills   <b>Portfolio:</b> Protection, Vigilence, Combat
Garl Glittergold			KEY:Garl Glittergold			DOMAINS:Earth,Good,Protection,Trickery|PREALIGN:LG,NG,TN,CG			DEITYWEAP:Greataxe				ALIGN:NG		FACTSET:Pantheon|Gnome		SOURCEPAGE:p.64		TYPE:Greater			DESC:Garl (garl) ~ Male ~ The Prankster, The Joker, The Watchful Protector, The Priceless Gem, The Sparkling Wit   <b>Portfolio:</b> Gnomes, Protection, Humor, Wit, Gemcutting, Jewelrymaking, Illusion
Segojan Earthcaller			KEY:Segojan Earthcaller			DOMAINS:Animal,Earth,Good|PREALIGN:LG,NG,TN,CG						DEITYWEAP:Mace (Heavy)			ALIGN:NG		FACTSET:Pantheon|Gnome		SOURCEPAGE:p.145	TYPE:Intermediate		DESC:Segojan (SEH-goe-jann) ~ Male ~ Earthfriend, The Rock Gnome, Lord of the Burrow, Digger of Dens, The Badger, The Wolverine   <b>Portfolio:</b> Earth, Nature
Urdlen						KEY:Urdlen						DOMAINS:Chaos,Destruction,Earth,Evil|PREALIGN:NE,CN,CE				DEITYWEAP:Gauntlet (Spiked)		ALIGN:CE		FACTSET:Pantheon|Gnome		SOURCEPAGE:p.173	TYPE:Intermediate		DESC:Urdlen (URD-len) ~ Unknown ~ The Crawler Below, The Evil One   <b>Portfolio:</b> Greed, Bloodlust, Evil, Hatred, Blind Destruction
# *** END - Gnome Deities from Living-Greyhawk-Deities-v2-0.pdf ***

#

# *** BEGIN - Halfling Deities from Living-Greyhawk-Deities-v2-0.pdf ***
#Deity Name			Unique Key				Domains															Deity Weapon									Align			Pantheon						Source Page				Type					Description
Arvoreen			KEY:Arvoreen			DOMAINS:Good,Law,Protection,War|PREALIGN:LG,LN,NG				DEITYWEAP:Longsword|Sword (Short)				ALIGN:LG		FACTSET:Pantheon|Halfling		SOURCEPAGE:p.11			TYPE:Intermediate		DESC:Arvoreen (ARR-voh-reen) ~ Male ~ The Defender, The Vigilant Guardian, The Wary Sword   <b>Portfolio:</b> Protection, Vigilance, War
Brandobaris			KEY:Brandobaris			DOMAINS:Luck,Travel,Trickery|PREALIGN:LN,NG,TN,NE,CN			DEITYWEAP:Sword (Short)|Dagger					ALIGN:TN		FACTSET:Pantheon|Halfling		SOURCEPAGE:p.28			TYPE:Lesser				DESC:Brandobaris (BRAN-do-BAIR-iss) ~ Male ~ Master of Stealth, Misadventure, The Trickster, The Irrepressible Scamp, The Friendly Rapscallion   <b>Portfolio:</b> Stealth, Thieves, Adventuring
Cyrrollalee			KEY:Cyrrollalee			DOMAINS:Good,Healing,Law,Protection|PREALIGN:LG,LN,NG			DEITYWEAP:Club									ALIGN:LG		FACTSET:Pantheon|Halfling		SOURCEPAGE:p.39			TYPE:Intermediate		DESC:Cyrrollalee (SEER-oh-LAH-lee) ~ Female ~ The Hand of Fellowship, The Faithful, The Hearthkeeper   <b>Portfolio:</b> Friendship, Trust, Home
Sheela Peryroyl		KEY:Sheela Peryroyl		DOMAINS:Air,Earth,Plant|PREALIGN:LN,NG,TN,NE,CN					DEITYWEAP:Sickle								ALIGN:TN		FACTSET:Pantheon|Halfling		SOURCEPAGE:p.150		TYPE:Intermediate		DESC:Sheela Peryroyl (SHEE-lah PAIR-re-royl) ~ Female ~ Green Sister, The Wise, The Watchful Mother   <b>Portfolio:</b> Nature, Agriculture, Weather
Urogalan			KEY:Urogalan			DOMAINS:Earth,Law,Protection|PREALIGN:LG,LN,LE,TN				DEITYWEAP:Flail|Flail (Heavy)|Flail (Dire)		ALIGN:LN		FACTSET:Pantheon|Halfling		SOURCEPAGE:p.174		TYPE:Demigod			DESC:Urogalan (URR-oh-GAH-lan) ~ Male ~ He Who Must Be, The Black Hound, Lord in the Earth, The Protector, The Shaper   <b>Portfolio:</b> Earth, Death, Protection of the Dead
Yondalla			KEY:Yondalla			DOMAINS:Animal,Good,Law,Plant,Protection|PREALIGN:LG,LN,NG		DEITYWEAP:Longsword|Sword (Short)				ALIGN:LG		FACTSET:Pantheon|Halfling		SOURCEPAGE:p.192		TYPE:Greater			DESC:Yondalla (yon-DAH-lah) ~ Female ~ The Protector and Provider, The Nurturing Matriarch, The Blessed One   <b>Portfolio:</b> Halflings, Protection, Fertility
# *** END - Halfling Deities from Living-Greyhawk-Deities-v2-0.pdf ***

