# CVS $Revision: $ $Author: $ -- Fri Feb 03 00:00:00 2023 -- formatted by stoneageartisans

SOURCELONG:Living Greyhawk Gazetteer	SOURCESHORT:LG	SOURCEDATE:2023-02

CATEGORY=Internal|Default.MOD		BONUS:ABILITYPOOL|Human Ethnicity|1|TYPE=Base|PRERACE:1,Human

###Block: Human Ethnicity
# Ability					Name									Category of Ability			Type										Template							Regional options																																		Sourcepage			Description
Undefined Ethnicity			KEY:Human Ethnicity ~ Undefined			CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Undefined		PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Undefined]							SOURCEPAGE:p.5			DESC:Your physical features can be any from the whole range of possibilities of all ethnic groups.<br><b>Background:</b> Your ethnicity is undefined. You are a mixture of several enthic types, have a very rare combination of recessive traits, or something else...
Common Region ~ Greyhawk									OUTPUTNAME:Greyhawk									SORTKEY:Greyhawk									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Greyhawk									SOURCEPAGE:p.51			DESC:People of all nations and races can be found in this thriving metropolis, and trade from all across the Flanaess passes through Greyhawk. The people of Greyhawk pursue knowledge and wealth. The University of Magical Arts and the Grey College, among its many schools, attract students from all across the land. The city of Greyhawk controls a sizable estate ranging from the northern coast of the Woolly Bay to the southern shores of Midbay in the Nyr Dyv. The Cairn Hills and the Abbor-Alz mark the eastern limits of this domain, while its western boundary is generally considered to lie within the Gnarley Forest and along the edge of the Welkwood. The other towns in the Greyhawk territory each have their own history of independence.<br><b>Typical Alignments:</b> N*, all others<br><b>Favored Deities:</b> Fharlanghn, Norebo, Pelor, St. Cuthbert, Zilchus, many others
Common Region ~ Highfolk									OUTPUTNAME:Highfolk									SORTKEY:Highfolk									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Highfolk									SOURCEPAGE:p.52			DESC:Highfolk is not so much a country as a region where a loose collection of communities has come together. It is a farmer’s paradise — simple, honest folk work the land and cooperate for mutual profit. Humans, gnomes, elves, and halflings live together in harmony, each sharing resources. This is a region where a hearty handshake seals a deal and invitations to share a place at the table can be expected, even for strangers. But those who would prey on this seemingly idyllic land had best beware. When bandits have come to pillage, the laid-back spirit of Highfolk vanishes, and neighbors stand together.<br><b>Typical Alignments:</b> NG, CG*<br><b>Favored Deities:</b> Ehlonna, Elf pantheon, Fharlanghn, Oeridian agricultural gods, Phyton
Common Region ~ Ice Barbarians								OUTPUTNAME:Ice Barbarians							SORTKEY:Ice Barbarians								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Ice Barbarians								SOURCEPAGE:p.54			DESC:The northern and eastern coastal regions of the Thillonrian peninsula are home to the Ice Barbarians, or Cruski. Their land is the coldest and most severe of the Suel barbarian kingdoms, but the hardship has served to strengthen their independence. Dwelling in seaside towns and mountain steadings, they make hunting, fishing and whaling their major occupations. Shipbuilding is clearly important, and piracy is as well, with seasonal raids southward providing both wealth and the opportunity for battle that the barbarians crave.<br><b>Typical Alignments:</b> N, CN*<br><b>Favored Deities:</b> Kord, Llerg, Norebo, Vatun, Xerbo
Common Region ~ Iron Hills									OUTPUTNAME:Iron Hills								SORTKEY:Iron Hills									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Iron Hills									SOURCEPAGE:p.145		DESC:This massive highland is the realm of the great dwarven Kingdom of the Iron Hills, ruled by King Holgi Hirsute. Holgi is a close ally of the Iron League but is not beyond dealing with the Aerdi (with grave reluctance) to further his interests. Intrusions by Ahlissan scouts stir the dwarves’ not-unreasonable fear of invasion, but the dwarves and gnomes are numerous, heavily armed, and unforgiving. Gnomes and humans do some of the mining in the area, but the largest and most productive mines are dwarven-run. These mine have produced high grade ore for centuries, in addition to precious metals such as gold and silver.<br><b>Typical Alignments:</b> LG*, LN, NG, N, CG<br><b>Favored Deities:</b> Dwarven pantheon, Gnomish pantheon, few others
Common Region ~ Irongate									OUTPUTNAME:Irongate									SORTKEY:Irongate									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Irongate									SOURCEPAGE:p.55			DESC:Irongate is a free and independent city located on the eastern coast of the Azure Sea in a bay framed by the imposing set of hills known as the Headlands in the west and the Iron Hills in the east. The Fortress City is one of the few Oeridian-controlled ports on the largely Suel-dominated southern waterways, and maintains a large, welltrained standing army and navy. An island citadel wards the bay, and a series of interlocking gates controls water access to the city. Irongate is famous for quality iron ore, mining, and metalwork. Irongate weaponsmiths are generally considered the best in the Flanaess.<br><b>Typical Alignments:</b> LG*, LN, NG<br><b>Favored Deities:</b> Dwarven pantheon, Fortubo, Heironeous, Jascar, Lendor, Norebo, Osprem, Procan, Xerbo, Zilchus
Common Region ~ Empire of Iuz								OUTPUTNAME:Empire of Iuz							SORTKEY:Iuz, Empire of								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Empire of Iuz								SOURCEPAGE:p.58			DESC:The demigod Iuz rules the empire that bears his name. No single being can claim personal responsibility for as much bloodshed as can the Old One, a vicious, scheming creature who revels in his own debased wickedness. His armies occupy even his own land as if it were a hostile country needing to be conquered. Iuz does not hesitate to prey on the weak and has made several attempts to conquer surrounding realms.<br><b>Typical Alignments:</b> LE, NE, CN, CE*<br><b>Favored Deities:</b> Iuz* - all others are aggressively suppressed, particularly cults of Nerull and Vecna, and any Good religions (especially Heironeous, Pelor, and St. Cuthbert)
Common Region ~ Keoland										OUTPUTNAME:Keoland									SORTKEY:Keoland										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Keoland									SOURCEPAGE:p.63			DESC:Keoland is a true monarchy in that its kings rule for life and have great powers and authority at their disposal, but officially the government is a permanent regency. These lands are some of the most provincial and pastoral in the Flanaess, largely untouched by war and conflict. The folk of the land can be friendly and generous, but they are primarily noted for their superstitious natures, particularly their wariness of foreigners. For most of Keoland’s history, the study of magic was banned to its citizenry, and its practice was restricted to secret societies and certain nobles. Little evidence is seen by the casual observer of powerful arcane magic, as commoners fear those who practice spellcraft.<br><b>Typical Alignments:</b> LG, LN, NG*, N, CG<br><b>Favored Deities:</b> Ehlonna, Elven pantheon, Fharlanghn, Heironeous, Kord, Lydia, Norebo, Olidammara, Osprem, Phaulkon, St. Cuthbert, Trithereon, Xerbo, Zilchus
Common Region ~ Ket											OUTPUTNAME:Ket										SORTKEY:Ket											CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Ket										SOURCEPAGE:p.66			DESC:A former province of Zeif, Ket is the crossroads between east and west, a mixture of peoples and traditions. The feudal monarchy retains strong military and religious traditions in the worship of Al’Akbar. While ancestry allows one the opportunity to rule, strength and faith must be proven before one receives the titles of Beygraf and Shield. The clergy of Ket is intertwined with its military hierarchy. Every company has its own cleric, and Ketite soldiers are expected to adhere to the devotions of Al’Akbar.<br><b>Typical Alignments:</b> LN*, LE, N, CN<br><b>Favored Deities:</b> Al’Akbar, Fharlanghn, Geshtai, Istus, Mouqol, Xan Yae, other Baklunish gods
Common Region ~ Lendore Isles								OUTPUTNAME:Lendore Isles							SORTKEY:Lendore Isles								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Lendore Isles								SOURCEPAGE:p.68			DESC:The Lendore Isles, as they are now known, were until recently named the Spindrifts. These five islands, each governed by an elven cleric, have recently come under control of the mystical cult of Sehanine devoted to “things that are pure elven.” Non-elves who remain now form a “protected underclass” in an elf-dominated society. It is unlawful to teach a non-elf Lendorean Elvish, and they are forbidden to use any other tongue unless addressed by an elf first. Many half-elves who once called this land home have left.<br><b>Typical Alignments:</b> NG, N, CG*, CN<br><b>Favored Deities:</b> Elf pantheon*, Kord, Lydia, Norebo, Osprem, Phaulkon, Syrul, Xerbo
Common Region ~ Lordship of the Isles						OUTPUTNAME:Lordship of the Isles					SORTKEY:Lordship of the Isles						CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Lordship of the Isles						SOURCEPAGE:p.70			DESC:The Lordship of the Isles is the collective name given to a series of small island states off the southeastern coast of the Flanaess. These seven isles separate the Aerdi Sea from the warmer waters of the Oljatt Sea and range in size from an area nearly equal to the largest of the Lendore Isles to a tiny islet barely thirty miles in length. Thick, tropical forests surround rocky, volcanic peaks on these islands. The forests provide a rich source of exotic plant and animal life, while the mountains are rich in minerals.<br><b>Typical Alignments:</b> LE, N, NE*, CN, CE<br><b>Favored Deities:</b> Norebo, Osprem, Syrul, Wee Jas, Xerbo, other Suloise gods
Common Region ~ Lortmil Mountains							OUTPUTNAME:Lortmil Mountains						SORTKEY:Lortmil Mountains							CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Lortmil Mountains							SOURCEPAGE:p.143		DESC:This low chain of mountains, fading into hills with age, is the homeland of many dwarves, gnomes, and venturesome halflings, as well as a few winged folk and scattered human enclaves. The good folk acted in concert almost a century ago to expel most of the nonhumans and vicious monsters from the Lortmils, and the small folk are common in the states that abut the range. The Lortmils contain some of the richest gem and precious metal deposits known. Dwarf clan leaders here are reputed to be as rich as princes, sought by emissaries from foreign nations for aid.<br><b>Typical Alignments:</b> LG*, LN, NG, N, CG<br><b>Favored Deities:</b> Dwarven pantheon, Gnomish pantheon, Halfling pantheon, few others
Common Region ~ North Kingdom								OUTPUTNAME:North Kingdom							SORTKEY:North Kingdom								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ North Kingdom								SOURCEPAGE:p.72			DESC:After the sundering of the Great Empire following the Greyhawk Wars, these lands formed an independent realm. Few members of the common races besides humans remain here, and while evil humanoids have lived in the North Kingdom for centuries, recent decades have brought a sharp and worrisome increase in their numbers.<br><b>Typical Alignments:</b> LN, LE*, N, NE, CE<br><b>Favored Deities:</b> Erythnul, Hextor*, Orcish pantheon, Zilchus, various goblin gods
Common Region ~ Nyrond										OUTPUTNAME:Nyrond									SORTKEY:Nyrond										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Nyrond										SOURCEPAGE:p.74			DESC:Nyrond is a land nearly destroyed by the emotional and monetary costs of war. Major roadways remain in ruin, making travel difficult. In certain provinces, trade is nearly impossible. Banditry is on the rise. Because the country is in such dire economic straits, heavy fines are favored over imprisonment. Debtors prisons, a new development in law enforcement, now dot the countryside.<br><b>Typical Alignments:</b> LG, LN*, NG, N, CG<br><b>Favored Deities:</b> Beory, Boccob, Celestian, Delleb, Heironeous*, Norebo, Pelor, Pholtus, Ralishaz, Rao, Zilchus
Common Region ~ Onnwal										OUTPUTNAME:Onnwal									SORTKEY:Onnwal										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Onnwal										SOURCEPAGE:p.79			DESC:Onnwal is a house divided. The Scarlet Brotherhood claims some land (mainly the capital, Scant), and a rebel movement calling themselves “Free Onnwal” rules everywhere else. While the Scarlet Brotherhood holdings represent less than a tenth of the country, Scant is still the primary merchant gateway to the rest of the Flanaess. The Brotherhood fleet uses the city as a base to extort levies from sea traffic passing through the Strait of Gearnat.<br><b>Typical Alignments:</b> LG, LN* (rebels), LE* (Scarlet Brotherhood), N, NE, CG, CN<br><b>Favored Deities:</b> Fortubo, Jascar, Norebo, Osprem, Procan, Scarlet Brotherhood gods, Xerbo, Zilchus
Common Region ~ Theocracy of the Pale						OUTPUTNAME:Theocracy of the Pale					SORTKEY:Pale, Theocracy of							CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Theocracy of the Pale						SOURCEPAGE:p.80			DESC:For more than two centuries, a clerical hierarchy in the name of the god, Pholtus, has ruled the Pale from the city of Wintershiven. This religious bureaucracy exercises direct command over the military, law enforcement, economics and trade, and nearly every other aspect of life in the kingdom. Evil priesthoods and hostile cults are actively routed and destroyed, while other faiths are suppressed. Arcane practicioners and other so-called “consorts of demons” are also closely watched.<br><b>Typical Alignments:</b> LG, LN*, LE<br><b>Favored Deities:</b> Pholtus*, all other religions suppressed (there is secret worship of Beory, Oeridian agricultural gods, and Phyton by many farmers in the countryside.)
Common Region ~ Plains of the Paynims						OUTPUTNAME:Plains of the Paynims					SORTKEY:Paynims, Plains of the						CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Plains of the Paynims						SOURCEPAGE:p.83 		DESC:Nomadic tribes of Paynim roam the plains of this land, warring and trading with one another in a cycle unpredictable to outsiders, but somehow understood by the locals. Though they value gold and other items, they count their true wealth in horses and livestock (and, in some tribes, slaves), and hold their freedom on the plains as their greatest treasure.<br><b>Typical Alignments:</b> N, CN*, all others sparsely represented<br><b>Favored Deities:</b> Al’Akbar, Geshtai, Istus, Mouqol, Xan Yae, other Baklunish gods
Common Region ~ Perrenland									OUTPUTNAME:Perrenland								SORTKEY:Perrenland									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Perrenland									SOURCEPAGE:p.85			DESC:Fiercely independent and rebellious, the inhabitants of Perrenland were spared the evil of the Greyhawk Wars by a formal agreement between their leaders and the evil Iuz. Their neutrality kept the wars from sweeping over their land, but won them no friends — and made a few enemies. The agreement with Iuz also prompted internal strife. One way to stem the rebellion has been to hire it out; bands of mercenaries serve as the nation’s chief export.<br><b>Typical Alignments:</b> LG*, LN, N<br><b>Favored Deities:</b> Allitur, Beory, Berei, Pelor, St. Cuthbert, Ulaa, Zilchus
Common Region ~ Pomarj										OUTPUTNAME:Pomarj									SORTKEY:Pomarj										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Pomarj										SOURCEPAGE:p.86			DESC:The Pomarj is a long arm of land extending from the Sheldomar Valley to separate the Azure Sea from the Sea of Gearnat. Few lands in the Flanaess are as malignant as the Pomarj, having long been the nexus of hostility to the free peoples of Greyhawk. Agents of the Scarlet Brotherhood travel openly. The Underdark is exposed to the surface in the Drachensgrab Hills. And slavery is commonplace — some would say rampant.<br><b>Typical Alignments:</b> LE, NE*, CE<br><b>Favored Deities:</b> Beltar, Orcish pantheon, Syrul, various goblin gods
Common Region ~ Ratik										OUTPUTNAME:Ratik									SORTKEY:Ratik										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Ratik										SOURCEPAGE:p.88			DESC:Ratik is a small but prosperous nation located in the northeastern corner of the Flanaess. It is seated in a cultural crossroads between the otherwise civilized south of the former Aerdi Great Kingdom and the barbaric north of the Suel on the Thillonrian Peninsula.<br><b>Typical Alignments:</b> NG*, N, CG, CN<br><b>Favored Deities:</b> Kord, Norebo, Oeridian agricultural gods, Phyton, Procan, Trithereon, Xerbo
Common Region ~ Rel Astra and the Solnor Compact			OUTPUTNAME:Rel Astra and the Solnor Compact			SORTKEY:Rel Astra and the Solnor Compact			CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Rel Astra and the Solnor Compact			SOURCEPAGE:p.91     	DESC:By many accounts, Rel Astra (literally, “City of the Heavens”) is the Flanaess’ greatest metropolis. Its walled wards and reaching towers call to people like a shining beacon. Its expansive markets display half the wonders of the world, and its streets are trodden daily by dark-skinned folk of Hepmonaland, golden Baklunish in flowing cloaks, and pale, gruff barbarians of the far north.<br><b>Typical Alignments:</b> LN, LE, N, NE*, CN, CE<br><b>Favored Deities:</b> Erythnul, Hextor, Kurell, Norebo, Osprem, Procan, Syrul, Wee Jas, Xerbo, Zilchus
Common Region ~ Rovers of the Barrens						OUTPUTNAME:Rovers of the Barrens					SORTKEY:Rovers of the Barrens						CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Rovers of the Barrens						SOURCEPAGE:p.94			DESC:The Rovers are a race of barbarians driven nearly to extinction by Iuz and his allies. They live a furtive existence, confining themselves mainly to the northernmost part of the Barrens. Their land is aptly named the Barrens for the tribes endure bitter winters and dry summers, taking from the poor land all they can to survive. Among the Rovers’ war bands are a group of swift runners gifted with legendary endurance, known as the Wardogs. Their agility and outrageous bravado are renowned throughout the Flanaess, giving rise to the expression “wild as a Wardog.”<br><b>Typical Alignments:</b> N, CN*, CE<br><b>Favored Deities:</b> Beory, Obad-Hai, Pelor, Telchur, other Flan gods
Common Region ~ Scarlet Brotherhood							OUTPUTNAME:Scarlet Brotherhood						SORTKEY:Scarlet Brotherhood							CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Scarlet Brotherhood						SOURCEPAGE:p.95			DESC:Until recently, the monks of the Scarlet Brotherhood were a secret, isolated power in the Flanaess. Then, during the Greyhawk Wars, they began toppling governments in a campaign of espionage, blackmail, and assassination. Prior to revealing themselves, the Brotherhood had agents in courts throughout the Flanaess. Now that this is known, many regents think long and hard about who they trust in their own courts.<br><b>Typical Alignments:</b> LE*, NE, CE<br><b>Favored Deities:</b> Bralm, Nerull, Pyremius, Syrul, Tharizdun, Wee Jas
Common Region ~ Sea Barons									OUTPUTNAME:Sea Barons								SORTKEY:Sea Barons									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Sea Barons									SOURCEPAGE:p.98			DESC:The isles of the Sea Barons are fertile and lush, particularly known for their unique oak trees, which are generally regarded as the best available for shipbuilding. Oakenheart, its capital, accordingly sports renowned shipyards, where most of the Sea Barons’ matchless vessels are constructed and  epaired. Rulers along the coast see the Barons as little better than pirates and slavers. The Barons, however, are safely allied with the Solnor Compact. The Sea Barons patrol the coast in return for the ability to anchor in Compact harbors and trade in their markets.<br><b>Typical Alignments:</b> N, NE, CN*, CE<br><b>Favored Deities:</b> Celestian, Kurell, Nerull, Norebo, Osprem, Procan, Ralishaz, Syrul, Xerbo
Common Region ~ Sea Princes									OUTPUTNAME:Sea Princes								SORTKEY:Sea Princes									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Sea Princes								SOURCEPAGE:p.100		DESC:The Hold of the Sea Princes is a beautiful land wracked with political upheaval, invasion, and ethnic conflict. Hammandaturian, the “Shepherd of the Sea Princes,” is a ruler in name only: The Scarlet Brotherhood makes the important decisions regarding his realm.<br><b>Typical Alignments:</b> LE, N, NE, CN*, CE<br><b>Favored Deities:</b> Bralm, Kelanen, Norebo, Olman pantheon, Osprem, Procan, Syrul, Tharizdun, Xerbo
Common Region ~ Shield Lands								OUTPUTNAME:Shield Lands								SORTKEY:Shield Lands								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Shield Lands								SOURCEPAGE:p.102		DESC:At least thirty thousand people live in the occupied Shield Lands, eking out a horrible existence under Iuz’s crushing heel. The remaining Shield Lands forces are stationed in Critwall. Elite, battle-hardened veterans, these soldiers know that the sheer numbers of evil humanoids occupying their homeland makes a direct assault on Iuz’s power virtually impossible.<br><b>Typical Alignments:</b> LG*, LN, CG<br><b>Favored Deities:</b> Heironeous*, Mayaheine, Pholtus, St. Cuthbert, Trithereon
Common Region ~ Snow Barbarians								OUTPUTNAME:Snow Barbarians							SORTKEY:Snow Barbarians								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Snow Barbarians							SOURCEPAGE:p.105		DESC:The most powerful of the northern barbarian nations, the SnowbBarbarians trade with fellow barbarians and join them in raids against the southerners. Of all the northern barbarians, the Snow Barbarians have the best sailors and are welcome on any expedition.<br><b>Typical Alignments:</b> N, CG, CN*, CE<br><b>Favored Deities:</b> Kord, Llerg, Norebo, Vatun, Xerbo
Common Region ~ Sterich										OUTPUTNAME:Sterich									SORTKEY:Sterich										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Sterich									SOURCEPAGE:p.106		DESC:Though recently freed from occupying evil humanoids, Sterich finds itself in flames once again. The nobles, now returning to power, have renewed their power struggle between each other and the anointed ruler of Sterich, the Marchioness. The military, though badly bloodied in the reclamation campaigns, has emerged as a seasoned force with a handful of veteran generals with a taste for defeating evil humanoids but no real experience policing their own country.<br><b>Typical Alignments:</b> LG, LN*, NG<br><b>Favored Deities:</b> Allitur, Beory, Berei, Dwarven pantheon, Ehlonna, Fharlanghn, Fortubo, Heironeous, Mayaheine, Pelor, Ulaa, Zilchus
Common Region ~ Stonehold									OUTPUTNAME:Stonehold								SORTKEY:Stonehold									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Stonehold									SOURCEPAGE:p.108		DESC:A frigid climate and brutal regime combine to make Stonehold one of the harshest lands in all the Flanaess. Brute strength and treachery are Stonehold’s assets, and all of her neighbors are her enemies. Rhelt Sevvord, the ruler of the realm, openly proclaims his independence from and hatred of Iuz even while faction leaders within Stonehold secretly court the demigod in the hopes of winning power for themselves. Murder among the Stonehold leaders is commonplace, and assassination is a recognized method of negotiation.<br><b>Typical Alignments:</b> N, CN, CE*<br><b>Favored Deities:</b> Beltar, Beory, Erythnul*, Obad-Hai, Syrul
Common Region ~ Sunndi										OUTPUTNAME:Sunndi									SORTKEY:Sunndi										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Sunndi										SOURCEPAGE:p.110		DESC:A very young kingdom, Sunndi’s greatest strengths come from internal cooperation and outward isolation. But these strengths may soon be put to a test as potential enemies surround the fledgling nation and predators harry its citizens. The Scarlet Brotherhood may be infiltrating both the government and military, assassinating and kidnapping officials and fouling the public works.<br><b>Typical Alignments:</b> NG*, N, CG<br><b>Favored Deities:</b> Boccob, Dwarven pantheon, Elven pantheon, Fortubo, Gnomish pantheon, Jascar, Lydia, Norebo, Oeridian agricultural gods, Pelor, Trithereon, Ulaa
Common Region ~ Tenh										OUTPUTNAME:Tenh										SORTKEY:Tenh										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Tenh										SOURCEPAGE:p.112		DESC:The war-ravaged lands between the Griff Mountains and the Artonsamay River, north of the Yol, hold the remains of the former duchy of Tenh. The Greyhawk Wars that destroyed this country have not yet ended here; Tenh, the first victim of the wars, seems destined to be its last. Duke Ehyeh III, scion of an ancient Flan lineage, is attempting to reclaim his homeland with meager assistance from the County of Urnst.<br><b>Typical Alignments:</b> LN, NG, N*<br><b>Favored Deities:</b> Allitur, Beory, Berei, Erythnul, Iuz, Obad-Hai, Pelor, Pholtus, St. Cuthbert, Wastri, Zodal
Common Region ~ Tiger Nomads								OUTPUTNAME:Tiger Nomads								SORTKEY:Tiger Nomads								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Tiger Nomads								SOURCEPAGE:p.114		DESC:These herders and hunters roam freely across the steppes, trading with the folk of Ekbir, Perrenland, and the Wolf Nomads. They are also raiders and occasional slave-traders, and rumors of lycanthropy among the Tiger Nomads have been confirmed. Their armies are similar in most respects to other northern nomads, though the presence of women warriors and warrior-priestesses is much more prevalent among the Tiger Nomads. Rumors abound regarding these female troops including ones that they perform male sacrifices, as was their practice in the olden days.<br><b>Typical Alignments:</b> N, CN*, CE<br><b>Favored Deities:</b> Geshtai, Incabulos, Istus, nomad ancestors
Common Region ~ Tusmit										OUTPUTNAME:Tusmit									SORTKEY:Tusmit										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Tusmit										SOURCEPAGE:p.115		DESC:Few outsiders visit the Tusmite backcountry, for the only wealth there is in raw materials, and the natives are inhospitable. Al’Akbar is worshiped in the north, so lawlessness is not tolerated. Only those wishing to visit the Grand Mufti of the Yatil Mountains travel there.<br><b>Typical Alignments:</b> LG, LN*, N<br><b>Favored Deities:</b> Al’Akbar, Geshtai, Istus, Mouqol, Xan Yae, other Baklunish gods
Common Region ~ County of Ulek								OUTPUTNAME:County of Ulek							SORTKEY:Ulek, County of								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ County of Ulek								SOURCEPAGE:p.116		DESC:Located between the Duchy and the Principality of Ulek, this peaceful land provides a home for halfling and human farmers. The rolling countryside and many small communities also house gnome brewers and woodworkers who produce many of the County’s trade goods. The government is fairly “hands off,” run by druids who provide assistance and guidance in daily life.<br><b>Typical Alignments:</b> LG, LN, N*, CG, CN<br><b>Favored Deities:</b> Beory, Berei, Ehlonna, Obad-Hai
Common Region ~ Duchy of Ulek								OUTPUTNAME:Duchy of Ulek							SORTKEY:Ulek, Duchy of								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Duchy of Ulek								SOURCEPAGE:p.117		DESC:The duchy is one of the three Ulek states, former subjects of the Keoish throne, which still maintains friendly relations with its immediate neighbors. As one of the few countries in the Flanaess ruled by an elf sovereign, the Duchy of Ulek also manages to preserve a harmony between its citizens of differing races. The duchy’s half-elven merchant clans are considered to be some of the most resourceful and honest in the Flanaess.<br><b>Typical Alignments:</b> NG, N, CG*, CN<br><b>Favored Deities:</b> Beory, Ehlonna, Elven pantheon, Fharlanghn, Gnomish pantheon, Kord, Phaulkon, Phyton
Common Region ~ Principality of Ulek						OUTPUTNAME:Principality of Ulek						SORTKEY:Ulek, Principality of						CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Principality of Ulek						SOURCEPAGE:p.119		DESC:The cosmopolitan Principality of Ulek is the southernmost of the three independent Ulek States. It is likely the largest mixed dwarven and human realm in the Flanaess, and one of few that is both possessed and administered by dwarves themselves. It prospers tremendously from foreign trade that passes through its markets, and goods from the Principality are highly valued.<br><b>Typical Alignments:</b> LG*, LN, N<br><b>Favored Deities:</b> Dwarven pantheon, Ehlonna, Fharlanghn, Lydia, Norebo, Olidammara, Osprem, Phyton, St. Cuthbert, Ulaa
Common Region ~ Ull											OUTPUTNAME:Ull										SORTKEY:Ull											CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Ull										SOURCEPAGE:p.122		DESC:Ull’s rich grassland extends deep into the Plains of the Paynims and, unfortunately, so does their lucrative slave trade. The Uli are known as a treacherous people, especially their cityfolk. Their military has a similar reputation. Their horsemen are undisciplined, and their infantry is notorious for its monstrous practices.<br><b>Typical Alignments:</b> N, CN*, CE<br><b>Favored Deities:</b>  Geshtai, Incabulos, Ralishaz, ancestor worship, demonism
Common Region ~ County of Urnst								OUTPUTNAME:County of Urnst							SORTKEY:Urnst, County of							CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ County of Urnst							SOURCEPAGE:p.123		DESC:The great plains of Urnst, which allow for its staggering production of foodstuffs, are surprisingly not the pride of the realm. Urnst is known for its incredible network of brilliantly designed and well-cared-for roads, fashioned in the (some say magical) style of the old Great Kingdom. Much of the great architecture and infrastructure of Urnst can be traced to the Aerdy occupation, a fact that does not go unappreciated despite the distrust most Urnstmen feel toward virtually every nation to the east.<br><b>Typical Alignments:</b> LG, NG*, N<br><b>Favored Deities:</b> Boccob, Halfling pantheon, Heironeous, Lydia, Norebo, Oeridian agricultural gods, Pelor, Pholtus, Phyton, St. Cuthbert, Xerbo, Zilchus
