# CVS $Revision: $ $Author: $ -- Sun Feb 05 00:00:00 2023 -- formatted by stoneageartisans

###Block: Subrace Support

# Human Ethnicity
# Template Name			Unique Key							Visible				Subrace						Favored Class							Automatic Languages
Undefined				KEY:Ethnicity ~ Undefined			VISIBLE:NO			SUBRACE:Undefined			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Baklunish				KEY:Ethnicity ~ Baklunish			VISIBLE:NO			SUBRACE:Baklunish			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Flan					KEY:Ethnicity ~ Flan				VISIBLE:NO			SUBRACE:Flan				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Oeridian				KEY:Ethnicity ~ Oeridian			VISIBLE:NO			SUBRACE:Oeridian			FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Olman					KEY:Ethnicity ~ Olman				VISIBLE:NO			SUBRACE:Olman				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Rhennee					KEY:Ethnicity ~ Rhennee				VISIBLE:NO			SUBRACE:Rhennee				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common
Suloise					KEY:Ethnicity ~ Suloise				VISIBLE:NO			SUBRACE:Suloise				FAVOREDCLASS:HIGHESTLEVELCLASS			AUTO:LANG|Common


# Common Regions										Knowledge Skill											Visibility		Automatic Languages							Language Selection Bonuses																					Region										Kit Choices
Common Region ~ Unspecified																						VISIBLE:NO		AUTO:LANG|Common																																		REGION:Unspecified
Common Region ~ County of Ulek							CSKILL:Knowledge (County of Ulek)						VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Keolandish,Old Oeridian,Orc,Ancient Suloise						REGION:County of Ulek						KIT:1|Double extra gold|Composite Longbow (Str +1)|Composite Longbow (Str +2)|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Breastplate|MW Chain Shirt|MW Chainmail|MW Heavy Steel Shield|MW Light Steel Shield|MW Longbow|MW Longsword|MW Rapier|MW Scale Mail|MW Short Sword|MW Spear|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Duchy of Ulek							CSKILL:Knowledge (Duchy of Ulek)						VISIBLE:NO		AUTO:LANG|Common|Elven						LANGBONUS:Flan,Gnome,Halfling,Keolandish,Sylvan																REGION:Duchy of Ulek						KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Composite Longbow (Str +1)|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Principality of Ulek					CSKILL:Knowledge (Principality of Ulek)					VISIBLE:NO		AUTO:LANG|Common|Dwarven|Keolandish			LANGBONUS:Elven,Gnome,Halfling,Old Oeridian,Ancient Suloise													REGION:Principality of Ulek					KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Ull										CSKILL:Knowledge (Ull)									VISIBLE:NO		AUTO:LANG|Common|Ulagha						LANGBONUS:Ancient Baklunish,Halfling,Orc																	REGION:Ull									KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Composite Shortbow (Str +1)|Healer's Kit & two Antitoxins|Large Scorpion venom x1|Light Warhorse & gear|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools
Common Region ~ County of Urnst							CSKILL:Knowledge (County of Urnst)						VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Elven,Gnome,Halfling,Old Oeridian,Orc,Rhopan,Ancient Suloise								REGION:County of Urnst						KIT:1|Double extra gold|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Elixir of Swimming|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Breastplate|MW Chain Shirt|MW Chainmail|MW Cutlass|MW Dagger|MW Heavy Steel Shield|MW Javelin|MW Light Crossbow|MW Light Steel Shield|MW Longsword|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Duchy of Urnst							CSKILL:Knowledge (Duchy of Urnst)						VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Elven,Gnome,Halfling,Ancient Suloise														REGION:Duchy of Urnst						KIT:1|Double extra gold|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Elixir of Swimming|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Bandoleer|MW Breastplate|MW Chain Shirt|MW Chainmail|MW Cutlass|MW Dagger|MW Heavy Steel Shield|MW Javelin|MW Light Crossbow|MW Light Steel Shield|MW Longsword|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Valley of the Mage						CSKILL:Knowledge (Valley of the Mage)					VISIBLE:NO		AUTO:LANG|Common|Elven						LANGBONUS:Gnome,Halfling																					REGION:Valley of the Mage					KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Composite Longbow (Str +1)|Healer's Kit & two Antitoxins|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Veluna									CSKILL:Knowledge (Veluna)								VISIBLE:NO		AUTO:LANG|Common|Velondi					LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise								REGION:Veluna								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Composite Longbow (Str +1)|Cure Light Wounds potion x3|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Verbobonc								CSKILL:Knowledge (Verbobonc)							VISIBLE:NO		AUTO:LANG|Common							LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Rhopan,Ancient Suloise							REGION:Verbobonc							KIT:1|Double extra gold|Composite Longbow (Str +1)|Composite Longbow (Str +2)|Cure Light Wounds potion x3|Cure Moderate Wounds potion x1|Healer's Kit & two Antitoxins|Light Warhorse & gear|MW Breastplate|MW Chain Shirt|MW Chainmail|MW Heavy Steel Shield|MW Light Steel Shield|MW Longbow|MW Longsword|MW Rapier|MW Scale Mail|MW Short Sword|MW Spear|MW Studded Leather|Scroll of Lesser Restoration
Common Region ~ Vesve Forest							CSKILL:Knowledge (Vesve Forest)							VISIBLE:NO		AUTO:LANG|Common|Elven						LANGBONUS:Ancient Baklunish,Flan,Gnome,Halfling,Giant,Gnoll,Goblin,Old Oeridian,Orc,Ancient Suloise			REGION:Vesve Forest							KIT:1|Extra gold|Black Adder venom x1|Chain Shirt|Chainmail|Composite Longbow (Str +1)|Healer's Kit & two Antitoxins|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather|MW thieves tools|Scroll of Lesser Restoration
Common Region ~ Wolf Nomads								CSKILL:Knowledge (Wolf Nomads)							VISIBLE:NO		AUTO:LANG|Common|Ordai						LANGBONUS:Ancient Baklunish,Elven,Flan,Halfling																REGION:Wolf Nomads							KIT:1|Extra gold|Chain Shirt|Composite Shortbow (Str +1)|Light Warhorse & gear|MW Heavy Wood Shield|MW Hide|MW Light Wood Shield|MW Studded Leather
Common Region ~ Yeomanry								CSKILL:Knowledge (Yeomanry)								VISIBLE:NO		AUTO:LANG|Common|Keolandish					LANGBONUS:Dwarven,Elven,Flan,Gnome,Halfling,Old Oeridian,Orc,Ancient Suloise								REGION:Yeomanry								KIT:1|Extra gold|Breastplate|Chain Shirt|Chainmail|Cure Light Wounds potion x3|Light Warhorse & gear|MW Heavy Steel Shield|MW Light Steel Shield|MW Scale Mail|Scroll of Lesser Restoration
Common Region ~ Zeif									CSKILL:Knowledge (Zeif)									VISIBLE:NO		AUTO:LANG|Common|Ancient Baklunish			LANGBONUS:Halfling,Orc																						REGION:Zeif									KIT:1|Extra gold|Chain Shirt|Composite Shortbow (Str +1)|Healer's Kit & two Antitoxins|Large Scorpion venom x1|Light Warhorse & gear|MW Bandoleer|MW Studded Leather
